AFL,,ab_AGG_umb_liab,ab_AGG_aut_liab_bi,CAPP,BODI,BODI
AFL,,ab_AGG_umb_liab,ab_AGG_aut_liab_pd,CAPP,PRPD,PRPD
AFL,,ab_AGG_umb_liab,ab_AGG_gen_liab_bi,CFRM,LIAB,BODI
AFL,,ab_AGG_umb_liab,ab_AGG_gen_liab_pd,CFRM,LIAB,LIAB
AFL,,ab_AGG_umb_liab,ab_AGG_umb_liab_apd,CAPP,PRPD,PRPD
AFL,,ab_AGG_umb_liab,ab_AGG_umb_liab_bi,CAPP,BODI,BODI
AFL,,ab_AGG_umb_liab,ab_AGG_umb_liab_exbi,CFRM,LIAB,BODI
AFL,,ab_AGG_umb_liab,ab_AGG_umb_liab_expd,CFRM,LIAB,LIAB
AGB,,ab_AGG_umb_liab,ab_AGG_aut_liab_bi,CAPP,BODI,BODI
AGB,,ab_AGG_umb_liab,ab_AGG_aut_liab_pd,CAPP,PRPD,PRPD
AGB,,ab_AGG_umb_liab,ab_AGG_gen_liab_bi,CFRM,LIAB,BODI
AGB,,ab_AGG_umb_liab,ab_AGG_gen_liab_pd,CFRM,LIAB,LIAB
AGB,,ab_AGG_umb_liab,ab_AGG_umb_liab_apd,CAPP,PRPD,PRPD
AGB,,ab_AGG_umb_liab,ab_AGG_umb_liab_bi,CAPP,BODI,BODI
AGB,,ab_AGG_umb_liab,ab_AGG_umb_liab_exbi,CFRM,LIAB,BODI
AGB,,ab_AGG_umb_liab,ab_AGG_umb_liab_expd,CFRM,LIAB,LIAB
AGG,,ab_AGG_umb_liab,ab_AGG_aut_liab_bi,CAPP,BODI,BODI
AGG,,ab_AGG_umb_liab,ab_AGG_aut_liab_pd,CAPP,PRPD,PRPD
AGG,,ab_AGG_umb_liab,ab_AGG_gen_liab_bi,CFRM,LIAB,BODI
AGG,,ab_AGG_umb_liab,ab_AGG_gen_liab_pd,CFRM,LIAB,LIAB
AGG,,ab_AGG_umb_liab,ab_AGG_umb_liab_apd,CAPP,PRPD,PRPD
AGG,,ab_AGG_umb_liab,ab_AGG_umb_liab_bi,CAPP,BODI,BODI
AGG,,ab_AGG_umb_liab,ab_AGG_umb_liab_exbi,CFRM,LIAB,BODI
AGG,,ab_AGG_umb_liab,ab_AGG_umb_liab_expd,CFRM,LIAB,LIAB
APK,,ab_AGG_umb_liab,ab_AGG_aut_liab_bi,CAPP,BODI,BODI
APK,,ab_AGG_umb_liab,ab_AGG_aut_liab_pd,CAPP,PRPD,PRPD
APK,,ab_AGG_umb_liab,ab_AGG_gen_liab_bi,CFRM,LIAB,BODI
APK,,ab_AGG_umb_liab,ab_AGG_gen_liab_pd,CFRM,LIAB,LIAB
APK,,ab_AGG_umb_liab,ab_AGG_umb_liab_apd,CAPP,PRPD,PRPD
APK,,ab_AGG_umb_liab,ab_AGG_umb_liab_bi,CAPP,BODI,BODI
APK,,ab_AGG_umb_liab,ab_AGG_umb_liab_exbi,CFRM,LIAB,BODI
APK,,ab_AGG_umb_liab,ab_AGG_umb_liab_expd,CFRM,LIAB,LIAB
DPK,,ab_AGG_umb_liab,ab_AGG_aut_liab_bi,CAPP,BODI,BODI
DPK,,ab_AGG_umb_liab,ab_AGG_aut_liab_pd,CAPP,PRPD,PRPD
DPK,,ab_AGG_umb_liab,ab_AGG_gen_liab_bi,CFRM,LIAB,BODI
DPK,,ab_AGG_umb_liab,ab_AGG_gen_liab_pd,CFRM,LIAB,LIAB
DPK,,ab_AGG_umb_liab,ab_AGG_umb_liab_apd,CAPP,PRPD,PRPD
DPK,,ab_AGG_umb_liab,ab_AGG_umb_liab_bi,CAPP,BODI,BODI
DPK,,ab_AGG_umb_liab,ab_AGG_umb_liab_exbi,CFRM,LIAB,BODI
DPK,,ab_AGG_umb_liab,ab_AGG_umb_liab_expd,CFRM,LIAB,LIAB
EXC,,ab_AGG_umb_liab,ab_AGG_aut_liab_bi,CCGL,LIAB,BODI
EXC,,ab_AGG_umb_liab,ab_AGG_aut_liab_pd,CCGL,LIAB,LIAB
EXC,,ab_AGG_umb_liab,ab_AGG_gen_liab_bi,CCGL,LIAB,BODI
